x|0|2|2|2|0|A
x|0|2|2|1|0|Am
x|2|4|4|4|2|B
x|2|4|4|3|2|Bm
x|3|2|0|1|0|C
x|x|0|2|3|2|D
x|x|0|2|3|1|Dm
0|2|2|1|0|0|E
0|2|2|0|0|0|Em
1|3|3|2|1|1|F
1|3|3|1|1|1|Fm
3|2|0|0|0|3|G
3|2|0|0|3|3|G
x|1|3|3|3|1|Bb
x|1|3|3|2|1|Bbm
2|4|4|3|2|2|F#
2|4|4|2|2|2|F#m
4|6|6|5|4|4|G#
4|6|6|4|4|4|G#m
x|3|5|5|4|3|Cm
x|0|2|0|2|0|A7
x|1|3|1|3|1|Bb7
x|2|1|2|0|2|B7
x|2|4|2|4|2|B7
x|3|2|3|1|0|C7
x|4|6|4|6|4|C#7
x|x|0|2|1|2|D7
x|6|8|6|8|6|Eb7
0|2|0|1|0|0|E7
1|3|1|2|1|1|F7
2|4|2|3|2|2|F#7
3|2|0|0|0|1|G7
4|6|4|5|4|4|G#7
x|0|2|0|1|0|Am7
x|1|3|1|2|1|Bbm7
x|2|4|2|3|2|Bm7
x|3|5|3|4|3|Cm7
x|4|6|4|5|4|C#m7
x|x|0|2|1|1|Dm7
x|6|8|6|7|6|Ebm7
0|2|0|0|0|0|Em7
1|3|1|1|1|1|Fm7
2|4|2|2|2|2|F#m7
3|5|3|3|3|3|Gm7
4|6|4|4|4|4|G#m7
x|0|2|1|2|0|Amaj7
x|1|3|2|3|1|Bbmaj7
x|2|4|3|4|2|Bmaj7
x|3|2|0|0|0|Cmaj7
x|3|5|4|5|3|Cmaj7
x|4|6|5|6|4|C#maj7
x|x|0|2|2|2|Dmaj7
x|5|7|6|7|5|Dmaj7
x|6|8|7|8|6|Ebmaj7
x|7|9|8|9|7|Emaj7
1|3|2|2|1|1|Fmaj7
2|4|3|3|2|2|F#maj7
x|5|7|5|6|5|Dm7
8|10|10|9|8|8|C
x|3|5|5|5|3|C
5|7|7|6|5|5|A
6|8|8|7|6|6|Bb
7|9|9|8|7|7|B
3|5|5|4|3|3|G
8|10|10|8|8|8|Cm
8|10|8|8|8|8|Cm7
x|5|7|7|7|5|D
10|12|12|11|10|10|D
x|5|7|7|6|5|Dm
10|12|12|10|10|10|Dm
10|12|10|10|10|10|Dm7
x|5|7|5|7|5|D7
10|12|10|11|10|10|D7
x|7|9|9|9|7|E
x|7|9|7|9|7|E7
0|2|1|1|0|0|Emaj7
x|7|9|7|8|7|Em7
0|2|2|0|3|0|Em7
x|8|10|10|10|8|F
x|8|10|8|10|8|F7
x|x|3|2|1|0|Fmaj7
x|8|10|9|10|8|Fmaj7
x|8|10|8|9|8|Fm7
x|10|12|12|12|10|G
3|5|5|3|3|3|Gm
x|10|12|12|11|10|Gm
x|10|12|10|11|10|Gm7
3|5|3|4|3|3|G7
x|10|12|10|12|10|G7
3|5|4|4|3|3|Gmaj7
3|2|0|0|0|2|Gmaj7
x|8|10|10|9|8|Fm
x|7|9|9|8|7|Em
5|7|7|5|5|5|Am
5|7|5|6|5|5|A7
5|7|6|6|5|5|Amaj7
5|7|5|5|5|5|Am7
7|9|9|7|7|7|Bm
7|9|7|8|7|7|B7
7|9|8|8|7|7|Bmaj7
7|9|7|7|7|7|Bm7
x|2|0|2|0|2|Bm7
